sample	drug	dbID	syn	pcID	gvm
Retinoic acid 444795 mouse GSE1437 sample 3084	retinoic acid	db444795		444795	pc444795
Bisphenol A 6623 human GSE17624 sample 2660	bisphenol a	db6623		6623	pc6623
heroin 5462328 mouse GSE30305 sample 2617	heroin	db5462328		5462328	pc5462328
Triiodothyronine-[13C6] hydrochloride (T3 thyronine) 53442265 human GSE29159 sample 3046	triiodothyronine-[13c6] hydrochloride	db53442265			triiodothyronine13c6hydrochloride
Y15 23627197 human GSE43452 sample 2554	y15	db23627197		78260	pc78260
2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 rat GSE48100 sample 3111	2,3,7,8-tetrachlorodibenzo-p-dioxin	db10852289		15625	pc15625
doxorubicin, 2xEC50, 1 d 31703 human GSE6930 sample 3263	doxorubicin	db31703		31703	pc31703
coenzyme Q10 5281915 mouse GSE15129 sample 3458	coenzyme q10	db5281915		5281915	pc5281915
arachidonic acid 444899 human GSE3737 sample 3119	arachidonic acid	db444899		444899	pc444899
ubiquinol 9962735 mouse GSE15129 sample 3457	ubiquinol	db9962735			ubiquinol
PLX4720 24180719 human GSE34299 sample 3243	plx4720	db24180719		24180719	pc24180719
Triiodothyronine-[13C6] hydrochloride (T3 thyronine) 53442265 human GSE29159 sample 3044	triiodothyronine-[13c6] hydrochloride	db53442265			triiodothyronine13c6hydrochloride
cyclophosphamide 2907 mouse GSE2254 sample 3628	cyclophosphamide	db2907		2907	pc2907
HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3382	hypochlorous acid	db24341		24341	pc24341
methylprednisolone 6741 rat GSE490 sample 3671	methylprednisolone	db6741		6741	pc6741
Cadmium Chloride 24947 rat GSE9480 sample 3414	cadmium chloride	db24947		24947	pc24947
bleomycin DB00290 human GSE3598 sample 3588	bleomycin	db00290		5460769	pc5460769
acrylamide 6579 rat GSE29004 sample 3110	acrylamide	db6579		6579	pc6579
d-serine 71077 rat GSE10748 sample 3390	d-serine	db71077		71077	pc71077
candesartan DB00796 rat GSE2739 sample 2687	candesartan	db00796		2540	pc2540
acrylamide 6579 rat GSE29004 sample 3131	acrylamide	db6579		6579	pc6579
CasIIgly 144221079 human GSE41827 sample 3130	casiigly	db144221079			casiigly
formaldehyde 712 rat GSE7002 sample 3537	formaldehyde	db712		712	pc712
Mehp 20393 rat GSE4514 sample 3580	mehp	db20393		20393	pc20393
acetaminophen DB00316 mouse GSE37874 sample 3301	acetaminophen	db00316		1983	pc1983
Insulin 3989 human GSE22309 sample 3370	insulin	db3989			insulin
calcitriol 5280453 human GSE52819 sample 3126	calcitriol	db5280453		5280453	pc5280453
phenobarbital sodium 23674889 mouse GSE6721 sample 2462	phenobarbital sodium	db23674889		23674889	pc23674889
cycloheximide 6197 human GSE8597 sample 3059	cycloheximide	db6197		6197	pc6197
Interferon beta-1a DB00060 human GSE26104 sample 3187	interferon beta-1a	db00060			interferonbeta1a
Cadmium dichloride 24947 rat GSE31503 sample 3283	cadmium dichloride	db24947		24947	pc24947
etanercept DB00005 human GSE11903 sample 2608	etanercept	db00005			etanercept
clinafloxacin 60063 human GSE9166 sample 2625	clinafloxacin	db60063		60063	pc60063
alpha-Tocopherol 14985 mouse GSE8146 sample 3478	alpha-tocopherol	db14985		14985	pc14985
phorbol 12-myristate 13-acetate (PMA) 27924 human GSE45417 sample 3246	phorbol 12-myristate 13-acetate	db27924		27924	pc27924
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3312	trichloroethylene	db6575		6575	pc6575
quercetin DB04216 mouse GSE38067 sample 3441	quercetin	db04216		5280343	pc5280343
estradiol DB00783 human GSE26834 sample 2733	estradiol	db00783		5757	pc5757
metoprolol DB00264 human GSE11223 sample 3287	metoprolol	db00264		4171	pc4171
CADMIUM 23973 human GSE9951 sample 3403	cadmium	db23973		23973	pc23973
VANADIUM PENTOXIDE 14814 human GSE5339 sample 3557	vanadium pentoxide	db14814		14814	pc14814
permethrin DB04930 rat GSE7955 sample 2792	permethrin	db04930		40326	pc40326
pyrazinamide 1046 mouse GSE48027 sample 3325	pyrazinamide	db1046		1046	pc1046
estradiol DB00783 human GSE24592 sample 2732	estradiol	db00783		5757	pc5757
formaldehyde 712 rat GSE7002 sample 3548	formaldehyde	db712		712	pc712
carboplatin DB00958 human GSE49577 sample 3177	carboplatin	db00958		38904	pc38904
carboplatin (30 h) 10339178 human GSE13525 sample 3031	carboplatin	db10339178		38904	pc38904
methoxychlor 4115 mouse GSE23725 sample 3235	methoxychlor	db4115		4115	pc4115
IFN-alphacon1 DB05258 human GSE5542 sample 2474	ifn-alphacon1	db05258			ifnalphacon1
HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3380	hypochlorous acid	db24341		24341	pc24341
Bisphenol A 6623 mouse GSE4650 sample 3575	bisphenol a	db6623		6623	pc6623
NVP-TNKS656 (tankyrase inhibitor) 71227201 human GSE55624 sample 3247	nvp-tnks656	db71227201		71227201	pc71227201
azacitidine DB00928 human GSE29077 sample 2542	azacitidine	db00928		9444	pc9444
morphine DB00295 mouse GSE50382 sample 3304	morphine	db00295		5288826	pc5288826
azathioprine DB00993 human GSE38713 sample 3194	azathioprine	db00993		2265	pc2265
estradiol 5757 human GSE26834 sample 3241	estradiol	db5757		5757	pc5757
resveratrol DB02709 human GSE32357 sample 3499	resveratrol	db02709		445154	pc445154
soman 7305 rat GSE13428 sample 2636	soman	db7305		7305	pc7305
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3518	perfluorooctanoic acid	db9554		9554	pc9554
ubiquinol 9962735 human GSE21351 sample 3448	ubiquinol	db9962735			ubiquinol
PLX4720 CID 24180719 human GSE50791 sample 2507	plx4720	db24180719		24180719	pc24180719
Celecoxib DB00482 human GSE54657 sample 2501	celecoxib	db00482		2662	pc2662
soman 7305 rat GSE13428 sample 2632	soman	db7305		7305	pc7305
Phosgene 6371 mouse GSE2565 sample 3615	phosgene	db6371		6371	pc6371
cisplatin DB00515 human GSE6410 sample 2532	cisplatin	db00515			cisplatin
Rosiglitazone effect on PRDM16-deficient inguinal white adipose tissue 77999 mouse GSE35011 sample 3099	rosiglitazone	db77999		77999	pc77999
imatinib DB00619 mouse GSE30883 sample 2523	imatinib	db00619		5291	pc5291
1-Piperonylpiperazine 94426 rat GSE68785 sample 3690	1-piperonylpiperazine	db94426		94426	pc94426
Oprelvekin DB00038 human GSE8762 sample 3297	oprelvekin	db00038			oprelvekin
vemurafenib DB08881 human GSE37441 sample 2559	vemurafenib	db08881		42611257	pc42611257
Etanercept DB00005 human GSE7524 sample 3295	etanercept	db00005			etanercept
4-Hydroxynonenal 5283344 human GSE2397 sample 3081	4-hydroxynonenal	db5283344		5283344	pc5283344
estradiol 5757 mouse GSE2195 sample 3625	estradiol	db5757		5757	pc5757
dexamethasone DB01234 human GSE54608 sample 3093	dexamethasone	db01234		5743	pc5743
bleomycin DB00290 mouse GSE25640 sample 3122	bleomycin	db00290		5460769	pc5460769
doxycycline DB00254 human GSE41035 sample 3039	doxycycline	db00254		54671203	pc54671203
rituximab DB00073 human GSE24742 sample 2514	rituximab	db00073			rituximab
cisplatin DB00515 mouse GSE6206 sample 3412	cisplatin	db00515			cisplatin
quercetin DB04216 mouse GSE4262 sample 3429	quercetin	db04216		5280343	pc5280343
progesterone 5994 rat GSE8238 sample 3526	progesterone	db5994		5994	pc5994
dactinomycin DB00970 mouse GSE5324 sample 2701	dactinomycin	db00970		457193	pc457193
VANADIUM PENTOXIDE 14814 human GSE5339 sample 3554	vanadium pentoxide	db14814		14814	pc14814
Monuron 8800 rat GSE51163 sample 2470	monuron	db8800		8800	pc8800
Rosiglitazone 77999 mouse GSE7193 sample 3091	rosiglitazone	db77999		77999	pc77999
methamphetamine 10836 mouse GSE30305 sample 2667	methamphetamine	db10836		66124	pc66124
morphine DB00295 human GSE7762 sample 3288	morphine	db00295		5288826	pc5288826
rosiglitazone 77999 mouse GSE36875 sample 3100	rosiglitazone	db77999		77999	pc77999
cisplatin DB00515 human GSE47856 sample 3152	cisplatin	db00515			cisplatin
apratoxin A 6326668 human GSE2742 sample 3067	apratoxin a	db6326668		6326668	pc6326668
colistin DB00803 mouse GSE46410 sample 2480	colistin	db00803		5311054	pc5311054
Mehp 20393 rat GSE4514 sample 3579	mehp	db20393		20393	pc20393
2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 human GSE24193 sample 3189	2,3,7,8-tetrachlorodibenzo-p-dioxin	db10852289		15625	pc15625
methylprednisolone 6741 rat GSE490 sample 3658	methylprednisolone	db6741		6741	pc6741
cisplatin DB00515 human GSE47856 sample 3144	cisplatin	db00515			cisplatin
doxycycline DB00254 human GSE2624 sample 3075	doxycycline	db00254		54671203	pc54671203
levetiracetam 5284583 rat GSE2880 sample 2669	levetiracetam	db5284583		5284583	pc5284583
deltamethrin 40585 rat GSE7955 sample 3420	deltamethrin	db40585		40585	pc40585
PBDE 47 CID 95170 rat GSE19868 sample 3392	pbde 47	db95170		95170	pc95170
vitamin c DB00126 mouse GSE46319 sample 3506	vitamin c	db00126		54670067	pc54670067
cytarabine, 2xEC50, 5 d 6253 human GSE6930 sample 3424	cytarabine	db6253		6253	pc6253
ribavirin DB00811 human GSE23031 sample 2481	ribavirin	db00811		37542	pc37542
estradiol DB00783 human GSE11352 sample 2729	estradiol	db00783		5757	pc5757
imatinib DB00619 human GSE23743 sample 2763	imatinib	db00619		5291	pc5291
lapatinib DB01259 human GSE16179 sample 2580	lapatinib	db01259		208908	pc208908
formaldehyde 712 rat GSE7002 sample 3543	formaldehyde	db712		712	pc712
bexarotene DB00307 human GSE6914 sample 2680	bexarotene	db00307		82146	pc82146
Cadmium dichloride 24947 rat GSE31503 sample 3282	cadmium dichloride	db24947		24947	pc24947
Bisphenol A 6623 mouse GSE4650 sample 3573	bisphenol a	db6623		6623	pc6623
morphine 5288826 mouse GSE7762 sample 3487	morphine	db5288826		5288826	pc5288826
estradiol 5757 human GSE24592 sample 3346	estradiol	db5757		5757	pc5757
morphine 5288826 mouse GSE7762 sample 3493	morphine	db5288826		5288826	pc5288826
paclitaxel 36314 human GSE12791 sample 3238	paclitaxel	db36314		36314	pc36314
PLX4032 DB05238 human GSE54711 sample 2556	plx4032	db05238		42611257	pc42611257
PBDE 47 95170 human GSE8588 sample 3050	pbde 47	db95170		95170	pc95170
Streptozotocin effect on pancreas of offspring of protein-restricted dams 29327 mouse GSE38215 sample 3248	streptozotocin	db29327		29327	pc29327
clozapine 2818 mouse GSE6467 sample 2464	clozapine	db2818		2818	pc2818
FENRETINIDE 5288209 rat GSE3952 sample 3563	fenretinide	db5288209		5288209	pc5288209
coenzyme Q10 5281915 mouse GSE15129 sample 3462	coenzyme q10	db5281915		5281915	pc5281915
bleomycin DB00290 mouse GSE43695 sample 3106	bleomycin	db00290		5460769	pc5460769
ethinyl estradiol DB00977 mouse GSE280 sample 2739	ethinyl estradiol	db00977		5991	pc5991
estradiol 5757 human GSE4668 sample 3061	estradiol	db5757		5757	pc5757
torcetrapib 159325 human GSE15918 sample 3172	torcetrapib	db159325		159325	pc159325
calcitriol 5280453 human GSE52819 sample 3129	calcitriol	db5280453		5280453	pc5280453
DAPT 5311272 rat GSE31668 sample 2648	dapt	db5311272		5311272	pc5311272
estradiol 5757 mouse GSE2889 sample 3607	estradiol	db5757		5757	pc5757
formaldehyde 712 rat GSE7002 sample 3549	formaldehyde	db712		712	pc712
Hydrogen Peroxide 784 mouse GSE3078 sample 3598	hydrogen peroxide	db784		784	pc784
Capsaicin 1548943 rat GSE59727 sample 3693	capsaicin	db1548943		1548943	pc1548943
methylprednisolone 6741 rat GSE490 sample 3662	methylprednisolone	db6741		6741	pc6741
fenretinide 5288209 rat GSE3952 sample 3559	fenretinide	db5288209		5288209	pc5288209
NICKEL 935 human GSE6281 sample 3481	nickel	db935		935	pc935
Y15 23627197 human GSE43452 sample 2553	y15	db23627197		78260	pc78260
estradiol 5757 mouse GSE2195 sample 3622	estradiol	db5757		5757	pc5757
PD173074 1401 human GSE52452 sample 2578	pd173074	db1401		1401	pc1401
chlorambucil DB00291 human GSE8832 sample 2691	chlorambucil	db00291		2708	pc2708
actinomycin D 2019 human GSE6400 sample 3098	actinomycin d	db2019		457193	pc457193
SODIUM ARSENITE 443495 mouse GSE11056 sample 3355	sodium arsenite	db443495		443495	pc443495
decitabine DB01262 human GSE29077 sample 2548	decitabine	db01262		451668	pc451668
cisplatin DB00515 human GSE47856 sample 3160	cisplatin	db00515			cisplatin
2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 mouse GSE2812 sample 3601	2,3,7,8-tetrachlorodibenzo-p-dioxin	db10852289		15625	pc15625
MT19c compound SID 134222379 human GSE23616 sample 3353	mt19c	db134222379			mt19c
estradiol DB00783 human GSE8597 sample 2731	estradiol	db00783		5757	pc5757
bleomycin DB00290 mouse GSE43695 sample 3104	bleomycin	db00290		5460769	pc5460769
Monuron 8800 rat GSE51163 sample 2468	monuron	db8800		8800	pc8800
doxycycline DB00254 mouse GSE29848 sample 3209	doxycycline	db00254		54671203	pc54671203
etanercept DB00005 human GSE47751 sample 2591	etanercept	db00005			etanercept
Rosiglitazone DB00412 mouse GSE11343 sample 3255	rosiglitazone	db00412		77999	pc77999
estradiol 5757 human GSE24592 sample 3344	estradiol	db5757		5757	pc5757
Bisphenol A 6623 human GSE17624 sample 2658	bisphenol a	db6623		6623	pc6623
motexafin gadolinium DB05428 human GSE2964 sample 3591	motexafin gadolinium	db05428		12047567	pc12047567
metformin DB00331 mouse GSE35961 sample 3308	metformin	db00331		4091	pc4091
methylprednisolone 6741 rat GSE490 sample 3673	methylprednisolone	db6741		6741	pc6741
atorvastatin DB01076 human GSE11393 sample 3401	atorvastatin	db01076		60823	pc60823
etanercept DB00005 human GSE11903 sample 2607	etanercept	db00005			etanercept
rosiglitazone DB00412 human GSE7035 sample 2810	rosiglitazone	db00412		77999	pc77999
diethylstilbestrol DB00255 rat GSE4028 sample 2716	diethylstilbestrol	db00255		448537	pc448537
metoprolol DB00264 human GSE3356 sample 2786	metoprolol	db00264		4171	pc4171
Laccaic Acid 5355255 human GSE45804 sample 2490	laccaic acid	db5355255		5355255	pc5355255
methotrexate DB00563 human GSE23687 sample 2541	methotrexate	db00563		126941	pc126941
tamoxifen DB00675 human GSE28645 sample 2822	tamoxifen	db00675		2733526	pc2733526
vitamin e DB00163 mouse GSE42813 sample 3515	vitamin e	db00163		14985	pc14985
acetaminophen DB00316 mouse GSE37874 sample 2482	acetaminophen	db00316		1983	pc1983
ANTIMONY 5354495 human GSE6907 sample 3532	antimony	db5354495		5354495	pc5354495
formaldehyde 712 rat GSE7002 sample 3552	formaldehyde	db712		712	pc712
methylprednisolone 6741 rat GSE490 sample 3660	methylprednisolone	db6741		6741	pc6741
anastrozole DB01217 human GSE33658 sample 3087	anastrozole	db01217		2187	pc2187
diclofenac DB00586 human GSE54255 sample 3053	diclofenac	db00586		3033	pc3033
decitabine DB01262 human GSE29077 sample 2538	decitabine	db01262		451668	pc451668
PLX4032 DB05238 human GSE24862 sample 2567	plx4032	db05238		42611257	pc42611257
pimecrolimus DB00337 human GSE32473 sample 2574	pimecrolimus	db00337		6509979	pc6509979
thapsigargin 446378 human GSE19519 sample 3236	thapsigargin	db446378		446378	pc446378
cisplatin DB00515 human GSE28274 sample 3254	cisplatin	db00515			cisplatin
doxycycline DB00254 human GSE41035 sample 3041	doxycycline	db00254		54671203	pc54671203
Methylphenidate DB00422 mouse GSE33619 sample 2499	methylphenidate	db00422		4158	pc4158
Triiodothyronine-[13C6] hydrochloride (T3 thyronine) 53442265 human GSE29159 sample 3043	triiodothyronine-[13c6] hydrochloride	db53442265			triiodothyronine13c6hydrochloride
testosterone 6013 human GSE5106 sample 3206	testosterone	db6013		5701998	pc5701998
MEK inhibitor (MEKi -AZD6244) 10127622 human GSE55624 sample 3251	mek inhibitor	db10127622		23507698	pc23507698
IFN-gamma1b DB00033 human GSE5542 sample 2476	ifn-gamma1b	db00033			ifngamma1b
vancomycin DB14969 mouse GSE7793 sample 3397	vancomycin	db14969		14969	pc14969
5-Fluorouracil 3385 mouse GSE1559 sample 3637	5-fluorouracil	db3385		3385	pc3385
arsenic CID 5359596 human GSE20320 sample 2551	arsenic	db5359596		5359596	pc5359596
formaldehyde 712 rat GSE7002 sample 3540	formaldehyde	db712		712	pc712
metformin DB00331 human GSE33612 sample 2483	metformin	db00331		4091	pc4091
apratoxin A 6326668 human GSE2742 sample 3071	apratoxin a	db6326668		6326668	pc6326668
Cisplatin DB00515 human GSE28274 sample 3253	cisplatin	db00515			cisplatin
Insulin Regular DB00030 mouse GSE39752 sample 3290	insulin	db00030		118984375	pc118984375
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3315	trichloroethylene	db6575		6575	pc6575
rituximab DB00073 human GSE15490 sample 2577	rituximab	db00073			rituximab
soman 7305 rat GSE13428 sample 2637	soman	db7305		7305	pc7305
etanercept DB00005 human GSE41663 sample 2603	etanercept	db00005			etanercept
SB 216763 176158 human GSE19736 sample 3266	sb 216763	db176158		176158	pc176158
pioglitazone DB01132 mouse GSE32536 sample 2797	pioglitazone	db01132		4829	pc4829
Monuron 8800 rat GSE51163 sample 2467	monuron	db8800		8800	pc8800
5-Fluorouracil 3385 mouse GSE1559 sample 3635	5-fluorouracil	db3385		3385	pc3385
lung cancer DB00928 human GSE29077 sample 2535	lung cancer	db00928		9444	pc9444
menadione DB00170 mouse GSE23725 sample 2780	menadione	db00170		4055	pc4055
azacitidine DB00928 human GSE29077 sample 2545	azacitidine	db00928		9444	pc9444
4-Vinylcyclohexene diepoxide 7833 mouse GSE23725 sample 3234	4-vinylcyclohexene diepoxide	db7833		7833	pc7833
halothane 3562 rat GSE6433 sample 3652	halothane	db3562		3562	pc3562
methylprednisolone 6741 rat GSE490 sample 3667	methylprednisolone	db6741		6741	pc6741
Lipopolysaccharide 11970143 human GSE5504 sample 3485	lipopolysaccharide	db11970143		11970143	pc11970143
coenzyme Q10 5281915 mouse GSE15129 sample 3456	coenzyme q10	db5281915		5281915	pc5281915
Fasudil 3547 mouse GSE25829 sample 3276	fasudil	db3547		3547	pc3547
carboplatin (24 h) 10339178 human GSE13525 sample 3030	carboplatin	db10339178		38904	pc38904
diclofenac DB00586 human GSE28185 sample 3058	diclofenac	db00586		3033	pc3033
valproic acid DB00313 mouse GSE9247 sample 2838	valproic acid	db00313		3121	pc3121
quercetin DB04216 mouse GSE4262 sample 3427	quercetin	db04216		5280343	pc5280343
alfacalcidol 5282181 human GSE15947 sample 3364	alfacalcidol	db5282181		5282181	pc5282181
bleomycin DB00290 human GSE3598 sample 3587	bleomycin	db00290		5460769	pc5460769
MLN4924 73014187 human GSE30531 sample 2644	mln4924	db73014187		16720766	pc16720766
dexamethasone DB01234 mouse GSE7683 sample 2712	dexamethasone	db01234		5743	pc5743
Lapatinib DB01259 human GSE38376 sample 3252	lapatinib	db01259		208908	pc208908
abiraterone DB05812 human GSE49244 sample 3300	abiraterone	db05812		132971	pc132971
soman 7305 rat GSE13428 sample 2634	soman	db7305		7305	pc7305
troglitazone DB00197 rat GSE21329 sample 2832	troglitazone	db00197		5591	pc5591
etanercept DB00005 human GSE41663 sample 2605	etanercept	db00005			etanercept
formaldehyde 712 rat GSE7002 sample 3545	formaldehyde	db712		712	pc712
diclofenac DB00586 human GSE28185 sample 3057	diclofenac	db00586		3033	pc3033
trovafloxacin 62959 human GSE9166 sample 2623	trovafloxacin	db62959		62959	pc62959
quercetin DB04216 mouse GSE4262 sample 3434	quercetin	db04216		5280343	pc5280343
doxycycline DB00254 human GSE11422 sample 2573	doxycycline	db00254		54671203	pc54671203
Arachidonic acid DB04557 human GSE3737 sample 3171	arachidonic acid	db04557		444899	pc444899
rosiglitazone DB00412 rat GSE7193 sample 2811	rosiglitazone	db00412		77999	pc77999
aminolevulinic acid DB00855 human GSE8920 sample 2575	aminolevulinic acid	db00855		137	pc137
adenosine triphosphate 5957 human GSE30903 sample 3218	adenosine triphosphate	db5957		5957	pc5957
cisplatin DB00515 human GSE42172 sample 3096	cisplatin	db00515			cisplatin
bleomycin DB00290 mouse GSE2640 sample 2851	bleomycin	db00290		5460769	pc5460769
resveratrol DB02709 mouse GSE11291 sample 3504	resveratrol	db02709		445154	pc445154
imatinib (glivec) 123596 human GSE12211 sample 2518	imatinib	db123596		5291	pc5291
methylprednisolone 6741 rat GSE490 sample 3663	methylprednisolone	db6741		6741	pc6741
ethanol 702 human GSE44456 sample 3037	ethanol	db702		702	pc702
cisplatin DB00515 human GSE47856 sample 3145	cisplatin	db00515			cisplatin
mycophenolic acid DB01024 human GSE14630 sample 3302	mycophenolic acid	db01024		446541	pc446541
lysophosphatidic acid 3988 human GSE26309 sample 3223	lysophosphatidic acid	db3988		5497152	pc5497152
formaldehyde 712 rat GSE7002 sample 3536	formaldehyde	db712		712	pc712
soman 7305 rat GSE13428 sample 2638	soman	db7305		7305	pc7305
pioglitazone 4829 mouse GSE1458 sample 2587	pioglitazone	db4829		4829	pc4829
methamphetamine 10836 mouse GSE30305 sample 2612	methamphetamine	db10836		66124	pc66124
isotretinoin DB00982 human GSE10432 sample 2772	isotretinoin	db00982		5282379	pc5282379
lapatinib DB01259 human GSE38376 sample 2586	lapatinib	db01259		208908	pc208908
Fasudil 3547 mouse GSE25829 sample 3277	fasudil	db3547		3547	pc3547
irinotecan DB00762 rat GSE11722 sample 2768	irinotecan	db00762		60838	pc60838
dexamethasone DB01234 human GSE34313 sample 2714	dexamethasone	db01234		5743	pc5743
Phosgene 6371 mouse GSE2565 sample 3617	phosgene	db6371		6371	pc6371
vitamin c DB00126 mouse GSE32994 sample 3509	vitamin c	db00126		54670067	pc54670067
etanercept DB00005 human GSE47751 sample 2592	etanercept	db00005			etanercept
haloperidol 3559 mouse GSE6511 sample 2471	haloperidol	db3559		3559	pc3559
5-Fluorouracil 3385 mouse GSE1559 sample 3638	5-fluorouracil	db3385		3385	pc3385
NVP-TNKS656 27924 human GSE55624 sample 3249	nvp-tnks656	db27924		71227201	pc71227201
Sodium dichromate 25408 rat GSE31503 sample 3285	sodium dichromate	db25408		25408	pc25408
nicotinamide riboside 439924 mouse GSE62194 sample 3469	nicotinamide riboside	db439924		439924	pc439924
resveratrol DB02709 mouse GSE11291 sample 3503	resveratrol	db02709		445154	pc445154
pioglitazone DB01132 rat GSE20219 sample 2794	pioglitazone	db01132		4829	pc4829
1-Benzylpiperazine 75994 rat GSE68785 sample 3687	1-benzylpiperazine	db75994		75994	pc75994
isoflurane DB00753 rat GSE1779 sample 2770	isoflurane	db00753		3763	pc3763
soman 7305 rat GSE13428 sample 2639	soman	db7305		7305	pc7305
puromycin, EC50, 5 d 439530 human GSE6930 sample 3270	puromycin	db439530		439530	pc439530
formaldehyde 712 rat GSE7002 sample 3538	formaldehyde	db712		712	pc712
chromium 23976 human GSE6907 sample 3534	chromium	db23976		23976	pc23976
Bisphenol A 6623 human GSE17624 sample 2664	bisphenol a	db6623		6623	pc6623
cyclophosphamide 2907 mouse GSE2254 sample 3626	cyclophosphamide	db2907		2907	pc2907
2,2',4,4',5,5'-Hexachlorobiphenyl   (PCB-153) 37034 human GSE6878 sample 3351	2,2',4,4',5,5'-hexachlorobiphenyl  	db37034		37034	pc37034
NSC319726 5351307 human GSE35972 sample 2479	nsc319726	db5351307		5351307	pc5351307
3,3',4,4'-Tetrachlorobiphenyl 36187 human GSE6878 sample 3271	3,3',4,4'-tetrachlorobiphenyl	db36187		36187	pc36187
vemurafenib 42611257 human GSE42872 sample 2495	vemurafenib	db42611257		42611257	pc42611257
coenzyme Q10 5281915 mouse GSE15129 sample 3460	coenzyme q10	db5281915		5281915	pc5281915
trovafloxacin DB00685 human GSE9166 sample 3036	trovafloxacin	db00685		62959	pc62959
R1881 13766 human GSE22606 sample 3049	r1881	db13766		261000	pc261000
rosiglitazone DB00412 mouse GSE10192 sample 2812	rosiglitazone	db00412		77999	pc77999
HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3381	hypochlorous acid	db24341		24341	pc24341
captopril DB01197 mouse GSE19286 sample 2689	captopril	db01197		44093	pc44093
quercetin DB04216 mouse GSE38141 sample 3435	quercetin	db04216		5280343	pc5280343
imatinib DB00619 human GSE24493 sample 2764	imatinib	db00619		5291	pc5291
adenosine triphosphate 5957 human GSE30903 sample 3221	adenosine triphosphate	db5957		5957	pc5957
cisplatin DB00515 human GSE47856 sample 3159	cisplatin	db00515			cisplatin
phenytoin 1775 rat GSE2880 sample 2670	phenytoin	db1775		1775	pc1775
carboplatin DB00958 human GSE49577 sample 3178	carboplatin	db00958		38904	pc38904
simvastatin 54454 mouse GSE1871 sample 3618	simvastatin	db54454		54454	pc54454
nilotinib DB04868 human GSE19567 sample 2528	nilotinib	db04868		644241	pc644241
decitabine DB01262 human GSE29077 sample 2547	decitabine	db01262		451668	pc451668
VANADIUM PENTOXIDE 14814 human GSE5339 sample 3555	vanadium pentoxide	db14814		14814	pc14814
doxorubicin DB00997 human GSE24460 sample 2533	doxorubicin	db00997		31703	pc31703
soman 7305 rat GSE13428 sample 2640	soman	db7305		7305	pc7305
Lapatinib DB01259 human GSE38376 sample 2584	lapatinib	db01259		208908	pc208908
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3519	perfluorooctanoic acid	db9554		9554	pc9554
Argyrin A 24978550 human GSE8565 sample 3054	argyrin a	db24978550			argyrina
resveratrol DB02709 mouse GSE62194 sample 3466	resveratrol	db02709		445154	pc445154
cisplatin DB00515 human GSE47856 sample 3146	cisplatin	db00515			cisplatin
SODIUM BUTYRATE 5222465 mouse GSE4410 sample 3583	sodium butyrate	db5222465		104775	pc104775
morphine 5288826 mouse GSE7762 sample 3492	morphine	db5288826		5288826	pc5288826
Lipopolysaccharide 11970143 human GSE3140 sample 3594	lipopolysaccharide	db11970143		11970143	pc11970143
soman 7305 rat GSE13428 sample 2635	soman	db7305		7305	pc7305
cetuximab DB00002 human GSE61495 sample 3133	cetuximab	db00002			cetuximab
apratoxin A 6326668 human GSE2742 sample 3070	apratoxin a	db6326668		6326668	pc6326668
motexafin gadolinium (24 h) DB05428 human GSE2189 sample 3128	motexafin gadolinium	db05428		12047567	pc12047567
Cobalt dichloride hexahydrate 24643 rat GSE51207 sample 3117	cobalt dichloride hexahydrate	db24643		24643	pc24643
tamoxifen DB00675 human GSE4025 sample 2820	tamoxifen	db00675		2733526	pc2733526
resveratrol DB02709 mouse GSE11291 sample 3505	resveratrol	db02709		445154	pc445154
cytarabine, EC50, 3 d 6253 human GSE6930 sample 3374	cytarabine	db6253		6253	pc6253
imatinib DB00619 human GSE1922 sample 2519	imatinib	db00619		5291	pc5291
HYPOCHLOROUS ACID 24341 human GSE11630 sample 3201	hypochlorous acid	db24341		24341	pc24341
morphine 5288826 mouse GSE7762 sample 3490	morphine	db5288826		5288826	pc5288826
Lipopolysaccharide 11970143 human GSE5504 sample 3486	lipopolysaccharide	db11970143		11970143	pc11970143
lipopolysaccharide 11970143 human GSE40885 sample 2475	lipopolysaccharide	db11970143		11970143	pc11970143
lipopolysaccharide (LPS) 11970143 mouse GSE23639 sample 3443	lipopolysaccharide	db11970143		11970143	pc11970143
Cholestyramine DB01432 human GSE11223 sample 3294	cholestyramine	db01432		70695641	pc70695641
Curcumin CID 969516 human GSE10896 sample 3259	curcumin	db969516		969516	pc969516
3H-1,2-Dithiole-3-thione 68296 rat GSE3173 sample 3593	3h-1,2-dithiole-3-thione	db68296		68296	pc68296
medroxyprogesterone acetate DB00603 mouse GSE10392 sample 2779	medroxyprogesterone acetate	db00603		6279	pc6279
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3516	perfluorooctanoic acid	db9554		9554	pc9554
