sample	drug	PCIDs	syn	gvm
CPC004_HEPG2_6H-proscillaridin_a-10.0	proscillaridin a	6185		pc6185
CPC004_HEPG2_6H-rhamnetin-10.0	rhamnetin	16760524		pc16760524
CPC004_HEPG2_6H-ro_31-8220_mesylate-10.0	ro 31 8220 mesylate	9874838		pc9874838
CPC004_HEPG2_6H-ropinirole_hcl-10.0	ropinirole hcl			ropinirolehcl
CPC004_HEPG2_6H-rottlerin-10.0	rottlerin	132837		pc132837
CPC004_HEPG2_6H-ru_24969-10.0	ru 24969	108029		pc108029
CPC004_HEPG2_6H-sappanone_a_trimethyl_ether-10.0	sappanone a trimethyl ether	445154		pc445154
CPC004_HEPG2_6H-sb_218078-10.0	sb 218078	444732		pc444732
CPC004_HEPG2_6H-selamectin-10.0	selamectin	9549289		pc9549289
CPC004_HEPG2_6H-sertraline_hydrochloride-10.0	sertraline hydrochloride			sertralinehydrochloride
CPC004_HEPG2_6H-sib_1893-10.0	sib 1893	3970		pc3970
CPC004_HEPG2_6H-simvastatin-10.0	simvastatin	54454		pc54454
CPC004_HEPG2_6H-sirolimus-10.0	sirolimus	5284616		pc5284616
CPC004_HEPG2_6H-teniposide-10.0	teniposide	452548		pc452548
CPC004_HEPG2_6H-terfenadine-10.0	terfenadine	5405		pc5405
CPC004_HEPG2_6H-testosterone-10.0	testosterone	5701998		pc5701998
CPC004_HEPG2_6H-trichostatin_a-10.0	trichostatin a	444732		pc444732
CPC004_HEPG2_6H-triciribine-10.0	triciribine			triciribine
CPC004_HEPG2_6H-triclosan-10.0	triclosan			triclosan
CPC004_HEPG2_6H-triflupromazine_hydrochloride-10.0	triflupromazine hydrochloride	3408722		pc3408722
CPC004_HEPG2_6H-venlafaxine_hcl-10.0	venlafaxine hcl	5321461		pc5321461
CPC004_HEPG2_6H-vorinostat-10.0	vorinostat	5311		pc5311
CPC004_HEPG2_6H-wortmannin-10.0	wortmannin	312145		pc312145
CPC004_HT29_6H-BRD-A68930007_(ouabain)-10.0	brd a68930007	6230	ouabain	pc6230
CPC004_HT29_6H-BRD-A75409952_(wortmannin)-10.0	brd a75409952	1549477	wortmannin	pc1549477
CPC004_HT29_6H-BRD-K36055864_(cycloheximide)-10.0	brd k36055864	16759158	cycloheximide	pc16759158
CPC004_HT29_6H-BRD-K87343924_(wortmannin)-10.0	brd k87343924		wortmannin	brdk87343924
CPC004_HT29_6H-ami-193-10.0	ami 193			ami193
CPC004_HT29_6H-amlodipine_besylate-10.0	amlodipine besylate			amlodipinebesylate
CPC004_HT29_6H-amoxapine-10.0	amoxapine	2170		pc2170
CPC004_HT29_6H-amsacrine-10.0	amsacrine	2179		pc2179
CPC004_HT29_6H-aristolochic_acid-10.0	aristolochic acid	6166		pc6166
CPC004_HT29_6H-bithionate_sodium-10.0	bithionate sodium	2812173		pc2812173
CPC004_HT29_6H-ch_55-10.0	ch 55	5330535		pc5330535
CPC004_HT29_6H-chloroxine-10.0	chloroxine	25181195		pc25181195
CPC004_HT29_6H-cycloheximide-10.0	cycloheximide	5284329		pc5284329
CPC004_HT29_6H-cyclosporine-10.0	cyclosporine	5284373		pc5284373
CPC004_HT29_6H-daunorubicin-10.0	daunorubicin	30323		pc30323
CPC004_HT29_6H-dephostatin-10.0	dephostatin	73364		pc73364
CPC004_HT29_6H-digitoxin-10.0	digitoxin	441207		pc441207
CPC004_HT29_6H-digoxin-10.0	digoxin	2724385		pc2724385
CPC004_HT29_6H-dorsomorphin_dihydrochloride-10.0	dorsomorphin dihydrochloride	53388		pc53388
CPC004_HT29_6H-doxorubicin-10.0	doxorubicin	31703		pc31703
CPC004_HT29_6H-emetine-10.0	emetine	9824953		pc9824953
CPC004_HT29_6H-epirubicin_hydrochloride-10.0	epirubicin hydrochloride	11317883		pc11317883
CPC004_HT29_6H-erythrosine_sodium-10.0	erythrosine sodium	5284373		pc5284373
CPC004_HT29_6H-geldanamycin-10.0	geldanamycin	5288382		pc5288382
CPC004_HT29_6H-gw_1929-10.0	gw 1929	15478		pc15478
CPC004_HT29_6H-mitomycin_c-10.0	mitomycin c	6437		pc6437
CPC004_HT29_6H-mycophenolic_acid-10.0	mycophenolic acid	446541		pc446541
CPC004_HT29_6H-niclosamide-10.0	niclosamide	4477		pc4477
CPC004_HT29_6H-nocodazole-10.0	nocodazole	439654		pc439654
CPC004_HT29_6H-nsc_663284-10.0	nsc 663284	193949		pc193949
CPC004_HT29_6H-ouabain-10.0	ouabain	668079		pc668079
CPC004_HT29_6H-oxibendazole-10.0	oxibendazole	4673190		pc4673190
CPC004_HT29_6H-paroxetine_hydrochloride-10.0	paroxetine hydrochloride	5281377		pc5281377
CPC004_HT29_6H-penicillin_g_potassium-10.0	penicillin g potassium	200103		pc200103
CPC004_HT29_6H-penitrem_a-10.0	penitrem a	11497466		pc11497466
CPC004_HT29_6H-pifithrin-_?-10.0	pifithrin  ?	5833		pc5833
CPC004_HT29_6H-pioglitazone_hydrochloride-10.0	pioglitazone hydrochloride	3218		pc3218
CPC004_HT29_6H-piplartine-10.0	piplartine	60943		pc60943
CPC004_HT29_6H-primaquine_diphosphate-10.0	primaquine diphosphate	5326843		pc5326843
CPC004_HT29_6H-prochlorperazine_edisylate-10.0	prochlorperazine edisylate	56972179		pc56972179
CPC004_HT29_6H-proscillaridin_a-10.0	proscillaridin a	6185		pc6185
CPC004_HT29_6H-ro_31-8220_mesylate-10.0	ro 31 8220 mesylate	9874838		pc9874838
CPC004_HT29_6H-sb_216641_hydrochloride-10.0	sb 216641 hydrochloride			sb216641hydrochloride
CPC004_HT29_6H-sb_218078-10.0	sb 218078	444732		pc444732
CPC004_HT29_6H-selamectin-10.0	selamectin	9549289		pc9549289
CPC004_HT29_6H-sertraline_hydrochloride-10.0	sertraline hydrochloride			sertralinehydrochloride
CPC004_HT29_6H-sirolimus-10.0	sirolimus	5284616		pc5284616
CPC004_HT29_6H-teniposide-10.0	teniposide	452548		pc452548
CPC004_HT29_6H-terfenadine-10.0	terfenadine	5405		pc5405
CPC004_HT29_6H-trichostatin_a-10.0	trichostatin a	444732		pc444732
CPC004_HT29_6H-triciribine-10.0	triciribine			triciribine
CPC004_HT29_6H-triflupromazine_hydrochloride-10.0	triflupromazine hydrochloride	3408722		pc3408722
CPC004_HT29_6H-trimipramine_maleate_salt-10.0	trimipramine maleate salt	156333		pc156333
CPC004_HT29_6H-vorinostat-10.0	vorinostat	5311		pc5311
CPC004_HT29_6H-wortmannin-10.0	wortmannin	312145		pc312145
CPC004_MCF7_6H-BRD-A68930007_(ouabain)-10.0	brd a68930007	6230	ouabain	pc6230
CPC004_MCF7_6H-BRD-A75409952_(wortmannin)-10.0	brd a75409952	1549477	wortmannin	pc1549477
CPC004_MCF7_6H-BRD-K36055864_(cycloheximide)-10.0	brd k36055864	16759158	cycloheximide	pc16759158
CPC004_MCF7_6H-BRD-K77830450_(forskolin)-10.0	brd k77830450		forskolin	brdk77830450
CPC004_MCF7_6H-BRD-K87343924_(wortmannin)-10.0	brd k87343924		wortmannin	brdk87343924
CPC004_MCF7_6H-ag_957-10.0	ag 957	1456		pc1456
CPC004_MCF7_6H-alprenolol_hydrochloride-10.0	alprenolol hydrochloride	6710740		pc6710740
CPC004_MCF7_6H-amg_9810-10.0	amg 9810			amg9810
CPC004_MCF7_6H-amlodipine_besylate-10.0	amlodipine besylate			amlodipinebesylate
CPC004_MCF7_6H-amsacrine-10.0	amsacrine	2179		pc2179
CPC004_MCF7_6H-bisacodyl-10.0	bisacodyl	9801969		pc9801969
CPC004_MCF7_6H-bithionate_sodium-10.0	bithionate sodium	2812173		pc2812173
CPC004_MCF7_6H-brazilin-10.0	brazilin	4712		pc4712
CPC004_MCF7_6H-brompheniramine_maleate-10.0	brompheniramine maleate	176408		pc176408
CPC004_MCF7_6H-carbinoxamine_maleate-10.0	carbinoxamine maleate	163751		pc163751
CPC004_MCF7_6H-ch_55-10.0	ch 55	5330535		pc5330535
CPC004_MCF7_6H-chloroxine-10.0	chloroxine	25181195		pc25181195
CPC004_MCF7_6H-colforsin-10.0	colforsin	5287620		pc5287620
CPC004_MCF7_6H-cycloheximide-10.0	cycloheximide	5284329		pc5284329
CPC004_MCF7_6H-cyclosporine-10.0	cyclosporine	5284373		pc5284373
CPC004_MCF7_6H-daunorubicin-10.0	daunorubicin	30323		pc30323
CPC004_MCF7_6H-diclofenac_sodium-10.0	diclofenac sodium	3330		pc3330
CPC004_MCF7_6H-digitoxin-10.0	digitoxin	441207		pc441207
CPC004_MCF7_6H-digoxin-10.0	digoxin	2724385		pc2724385
CPC004_MCF7_6H-dorsomorphin_dihydrochloride-10.0	dorsomorphin dihydrochloride	53388		pc53388
CPC004_MCF7_6H-doxorubicin-10.0	doxorubicin	31703		pc31703
CPC004_MCF7_6H-duloxetine_hydrochloride-10.0	duloxetine hydrochloride	5281321		pc5281321
CPC004_MCF7_6H-emetine-10.0	emetine	9824953		pc9824953
CPC004_MCF7_6H-epicatechin_monogallate-10.0	epicatechin monogallate	9887870		pc9887870
CPC004_MCF7_6H-epirubicin_hydrochloride-10.0	epirubicin hydrochloride	11317883		pc11317883
CPC004_MCF7_6H-erythrosine_sodium-10.0	erythrosine sodium	5284373		pc5284373
CPC004_MCF7_6H-ethamivan-10.0	ethamivan	1042895		pc1042895
CPC004_MCF7_6H-ezetimibe-10.0	ezetimibe	28417		pc28417
CPC004_MCF7_6H-forskolin-10.0	forskolin	443945		pc443945
CPC004_MCF7_6H-fulvestrant-10.0	fulvestrant	104741		pc104741
CPC004_MCF7_6H-geldanamycin-10.0	geldanamycin	5288382		pc5288382
CPC004_MCF7_6H-gitoxigenin-10.0	gitoxigenin			gitoxigenin
CPC004_MCF7_6H-gw_1929-10.0	gw 1929	15478		pc15478
CPC004_MCF7_6H-l_161982-10.0	l 161982	11784736		pc11784736
CPC004_MCF7_6H-ly-83583-10.0	ly 83583	441853		pc441853
CPC004_MCF7_6H-menadione-10.0	menadione	4055		pc4055
CPC004_MCF7_6H-mephentermine_sulfate-10.0	mephentermine sulfate	16211025		pc16211025
CPC004_MCF7_6H-methyl_2,5-dihydroxycinnamate-10.0	methyl 2,5 dihydroxycinnamate	13791		pc13791
CPC004_MCF7_6H-mitomycin_c-10.0	mitomycin c	6437		pc6437
CPC004_MCF7_6H-mycophenolic_acid-10.0	mycophenolic acid	446541		pc446541
CPC004_MCF7_6H-niclosamide-10.0	niclosamide	4477		pc4477
CPC004_MCF7_6H-nocodazole-10.0	nocodazole	439654		pc439654
CPC004_MCF7_6H-norgestimate-10.0	norgestimate	5311507		pc5311507
CPC004_MCF7_6H-nsc_663284-10.0	nsc 663284	193949		pc193949
CPC004_MCF7_6H-nu7026-10.0	nu7026	2837663		pc2837663
CPC004_MCF7_6H-ouabain-10.0	ouabain	668079		pc668079
CPC004_MCF7_6H-paroxetine_hydrochloride-10.0	paroxetine hydrochloride	5281377		pc5281377
CPC004_MCF7_6H-phenolphthalein-10.0	phenolphthalein	9909647		pc9909647
CPC004_MCF7_6H-pifithrin-_?-10.0	pifithrin  ?	5833		pc5833
CPC004_MCF7_6H-pindolol-10.0	pindolol	4828		pc4828
CPC004_MCF7_6H-piplartine-10.0	piplartine	60943		pc60943
CPC004_MCF7_6H-prochlorperazine_edisylate-10.0	prochlorperazine edisylate	56972179		pc56972179
CPC004_MCF7_6H-promazine_hydrochloride-10.0	promazine hydrochloride	5081913		pc5081913
CPC004_MCF7_6H-proscillaridin_a-10.0	proscillaridin a	6185		pc6185
CPC004_MCF7_6H-raf1_kinase_inhibitor_i-10.0	raf1 kinase inhibitor i	3795		pc3795
CPC004_MCF7_6H-ro_31-8220_mesylate-10.0	ro 31 8220 mesylate	9874838		pc9874838
CPC004_MCF7_6H-rottlerin-10.0	rottlerin	132837		pc132837
CPC004_MCF7_6H-rs_39604_hydrochloride-10.0	rs 39604 hydrochloride			rs39604hydrochloride
CPC004_MCF7_6H-sappanone_a_trimethyl_ether-10.0	sappanone a trimethyl ether	445154		pc445154
CPC004_MCF7_6H-sb_218078-10.0	sb 218078	444732		pc444732
CPC004_MCF7_6H-selamectin-10.0	selamectin	9549289		pc9549289
CPC004_MCF7_6H-sib_1893-10.0	sib 1893	3970		pc3970
CPC004_MCF7_6H-sirolimus-10.0	sirolimus	5284616		pc5284616
CPC004_MCF7_6H-suloctidil-10.0	suloctidil	5354		pc5354
CPC004_MCF7_6H-teniposide-10.0	teniposide	452548		pc452548
CPC004_MCF7_6H-terfenadine-10.0	terfenadine	5405		pc5405
CPC004_MCF7_6H-testosterone-10.0	testosterone	5701998		pc5701998
CPC004_MCF7_6H-trichostatin_a-10.0	trichostatin a	444732		pc444732
CPC004_MCF7_6H-triciribine-10.0	triciribine			triciribine
CPC004_MCF7_6H-vorinostat-10.0	vorinostat	5311		pc5311
CPC004_MCF7_6H-wortmannin-10.0	wortmannin	312145		pc312145
CPC004_PC3_24H-BRD-A68930007_(ouabain)-10.0	brd a68930007	6230	ouabain	pc6230
CPC004_PC3_24H-BRD-A75409952_(wortmannin)-10.0	brd a75409952	1549477	wortmannin	pc1549477
CPC004_PC3_24H-BRD-K36055864_(cycloheximide)-10.0	brd k36055864	16759158	cycloheximide	pc16759158
CPC004_PC3_24H-BRD-K87343924_(wortmannin)-10.0	brd k87343924		wortmannin	brdk87343924
CPC004_PC3_24H-ag_957-10.0	ag 957	1456		pc1456
CPC004_PC3_24H-albendazole-10.0	albendazole	5311		pc5311
CPC004_PC3_24H-amsacrine-10.0	amsacrine	2179		pc2179
CPC004_PC3_24H-bisacodyl-10.0	bisacodyl	9801969		pc9801969
CPC004_PC3_24H-bithionate_sodium-10.0	bithionate sodium	2812173		pc2812173
CPC004_PC3_24H-brompheniramine_maleate-10.0	brompheniramine maleate	176408		pc176408
CPC004_PC3_24H-ch_55-10.0	ch 55	5330535		pc5330535
CPC004_PC3_24H-chloroxine-10.0	chloroxine	25181195		pc25181195
CPC004_PC3_24H-chlorpromazine-10.0	chlorpromazine	2726		pc2726
CPC004_PC3_24H-cycloheximide-10.0	cycloheximide	5284329		pc5284329
CPC004_PC3_24H-cyclosporine-10.0	cyclosporine	5284373		pc5284373
CPC004_PC3_24H-daunorubicin-10.0	daunorubicin	30323		pc30323
CPC004_PC3_24H-digitoxin-10.0	digitoxin	441207		pc441207
CPC004_PC3_24H-digoxin-10.0	digoxin	2724385		pc2724385
CPC004_PC3_24H-dorsomorphin_dihydrochloride-10.0	dorsomorphin dihydrochloride	53388		pc53388
CPC004_PC3_24H-doxorubicin-10.0	doxorubicin	31703		pc31703
CPC004_PC3_24H-emetine-10.0	emetine	9824953		pc9824953
CPC004_PC3_24H-epicatechin_monogallate-10.0	epicatechin monogallate	9887870		pc9887870
CPC004_PC3_24H-epirubicin_hydrochloride-10.0	epirubicin hydrochloride	11317883		pc11317883
CPC004_PC3_24H-erythrosine_sodium-10.0	erythrosine sodium	5284373		pc5284373
CPC004_PC3_24H-ezetimibe-10.0	ezetimibe	28417		pc28417
CPC004_PC3_24H-fipronil-10.0	fipronil	9954082		pc9954082
CPC004_PC3_24H-fluspirilen-10.0	fluspirilen			fluspirilen
CPC004_PC3_24H-fluvastatin-10.0	fluvastatin			fluvastatin
CPC004_PC3_24H-forskolin-10.0	forskolin	443945		pc443945
CPC004_PC3_24H-geldanamycin-10.0	geldanamycin	5288382		pc5288382
CPC004_PC3_24H-gw_1929-10.0	gw 1929	15478		pc15478
CPC004_PC3_24H-gw_3965_hydrochloride-10.0	gw 3965 hydrochloride	5330535		pc5330535
CPC004_PC3_24H-gw_4064-10.0	gw 4064			gw4064
CPC004_PC3_24H-immethridine_dihydrobromide-10.0	immethridine dihydrobromide			immethridinedihydrobromide
CPC004_PC3_24H-irbesartan-10.0	irbesartan	3749		pc3749
CPC004_PC3_24H-menadione-10.0	menadione	4055		pc4055
CPC004_PC3_24H-methyl_2,5-dihydroxycinnamate-10.0	methyl 2,5 dihydroxycinnamate	13791		pc13791
CPC004_PC3_24H-mitomycin_c-10.0	mitomycin c	6437		pc6437
CPC004_PC3_24H-mycophenolic_acid-10.0	mycophenolic acid	446541		pc446541
CPC004_PC3_24H-naltrexone_hydrochloride-10.0	naltrexone hydrochloride	107967		pc107967
CPC004_PC3_24H-naringenine-10.0	naringenine	3334		pc3334
CPC004_PC3_24H-niclosamide-10.0	niclosamide	4477		pc4477
CPC004_PC3_24H-nocodazole-10.0	nocodazole	439654		pc439654
CPC004_PC3_24H-nsc_663284-10.0	nsc 663284	193949		pc193949
CPC004_PC3_24H-ouabain-10.0	ouabain	668079		pc668079
CPC004_PC3_24H-oxibendazole-10.0	oxibendazole	4673190		pc4673190
CPC004_PC3_24H-paclitaxel-10.0	paclitaxel	36314		pc36314
CPC004_PC3_24H-paroxetine_hydrochloride-10.0	paroxetine hydrochloride	5281377		pc5281377
CPC004_PC3_24H-penicillin_g_potassium-10.0	penicillin g potassium	200103		pc200103
CPC004_PC3_24H-phenolphthalein-10.0	phenolphthalein	9909647		pc9909647
CPC004_PC3_24H-pioglitazone_hydrochloride-10.0	pioglitazone hydrochloride	3218		pc3218
CPC004_PC3_24H-piplartine-10.0	piplartine	60943		pc60943
CPC004_PC3_24H-praziquantel-10.0	praziquantel			praziquantel
CPC004_PC3_24H-prednisolone-10.0	prednisolone	5755		pc5755
CPC004_PC3_24H-primaquine_diphosphate-10.0	primaquine diphosphate	5326843		pc5326843
CPC004_PC3_24H-promazine_hydrochloride-10.0	promazine hydrochloride	5081913		pc5081913
CPC004_PC3_24H-proscillaridin_a-10.0	proscillaridin a	6185		pc6185
CPC004_PC3_24H-protein_tyrosine_phosphatase_inhibitor_iv-10.0	protein tyrosine phosphatase inhibitor iv	2750		pc2750
CPC004_PC3_24H-rhamnetin-10.0	rhamnetin	16760524		pc16760524
CPC004_PC3_24H-ro_31-8220_mesylate-10.0	ro 31 8220 mesylate	9874838		pc9874838
CPC004_PC3_24H-rosuvastatin_calcium-10.0	rosuvastatin calcium	5373277		pc5373277
CPC004_PC3_24H-rottlerin-10.0	rottlerin	132837		pc132837
CPC004_PC3_24H-rs_39604_hydrochloride-10.0	rs 39604 hydrochloride			rs39604hydrochloride
CPC004_PC3_24H-sb_216641_hydrochloride-10.0	sb 216641 hydrochloride			sb216641hydrochloride
CPC004_PC3_24H-sb_218078-10.0	sb 218078	444732		pc444732
CPC004_PC3_24H-selamectin-10.0	selamectin	9549289		pc9549289
CPC004_PC3_24H-sertraline_hydrochloride-10.0	sertraline hydrochloride			sertralinehydrochloride
CPC004_PC3_24H-sib_1893-10.0	sib 1893	3970		pc3970
CPC004_PC3_24H-simvastatin-10.0	simvastatin	54454		pc54454
CPC004_PC3_24H-sirolimus-10.0	sirolimus	5284616		pc5284616
CPC004_PC3_24H-skf_96365_hydrochloride-10.0	skf 96365 hydrochloride			skf96365hydrochloride
CPC004_PC3_24H-teniposide-10.0	teniposide	452548		pc452548
CPC004_PC3_24H-terfenadine-10.0	terfenadine	5405		pc5405
CPC004_PC3_24H-trichostatin_a-10.0	trichostatin a	444732		pc444732
CPC004_PC3_24H-triciribine-10.0	triciribine			triciribine
CPC004_PC3_24H-triclosan-10.0	triclosan			triclosan
CPC004_PC3_24H-triflupromazine_hydrochloride-10.0	triflupromazine hydrochloride	3408722		pc3408722
CPC004_PC3_24H-vorinostat-10.0	vorinostat	5311		pc5311
CPC004_PC3_24H-wortmannin-10.0	wortmannin	312145		pc312145
CPC004_PC3_6H-BRD-A68930007_(ouabain)-10.0	brd a68930007	6230	ouabain	pc6230
CPC004_PC3_6H-BRD-A75409952_(wortmannin)-10.0	brd a75409952	1549477	wortmannin	pc1549477
CPC004_PC3_6H-BRD-K36055864_(cycloheximide)-10.0	brd k36055864	16759158	cycloheximide	pc16759158
CPC004_PC3_6H-BRD-K87343924_(wortmannin)-10.0	brd k87343924		wortmannin	brdk87343924
CPC004_PC3_6H-ag_957-10.0	ag 957	1456		pc1456
CPC004_PC3_6H-amg_9810-10.0	amg 9810			amg9810
CPC004_PC3_6H-amlodipine_besylate-10.0	amlodipine besylate			amlodipinebesylate
CPC004_PC3_6H-amodiaquin_dihydrochloride_dihydrate-10.0	amodiaquin dihydrochloride dihydrate	3339		pc3339
CPC004_PC3_6H-amoxapine-10.0	amoxapine	2170		pc2170
CPC004_PC3_6H-amsacrine-10.0	amsacrine	2179		pc2179
CPC004_PC3_6H-anagrelide_hydrochloride-10.0	anagrelide hydrochloride	5487525		pc5487525
CPC004_PC3_6H-apigenin_triacetate-10.0	apigenin triacetate	5328771		pc5328771
CPC004_PC3_6H-biperiden-10.0	biperiden	3371		pc3371
CPC004_PC3_6H-bisacodyl-10.0	bisacodyl	9801969		pc9801969
CPC004_PC3_6H-bithionate_sodium-10.0	bithionate sodium	2812173		pc2812173
CPC004_PC3_6H-brazilin-10.0	brazilin	4712		pc4712
CPC004_PC3_6H-carvedilol-10.0	carvedilol	2585		pc2585
CPC004_PC3_6H-cgp_57380-10.0	cgp 57380	11644425		pc11644425
CPC004_PC3_6H-ch_55-10.0	ch 55	5330535		pc5330535
CPC004_PC3_6H-chlorthalidone-10.0	chlorthalidone	2732		pc2732
CPC004_PC3_6H-colforsin-10.0	colforsin	5287620		pc5287620
CPC004_PC3_6H-cycloheximide-10.0	cycloheximide	5284329		pc5284329
CPC004_PC3_6H-cyclosporine-10.0	cyclosporine	5284373		pc5284373
CPC004_PC3_6H-daunorubicin-10.0	daunorubicin	30323		pc30323
CPC004_PC3_6H-digitoxin-10.0	digitoxin	441207		pc441207
CPC004_PC3_6H-digoxin-10.0	digoxin	2724385		pc2724385
CPC004_PC3_6H-diloxanide_furoate-10.0	diloxanide furoate	5702295		pc5702295
CPC004_PC3_6H-dorsomorphin_dihydrochloride-10.0	dorsomorphin dihydrochloride	53388		pc53388
CPC004_PC3_6H-doxorubicin-10.0	doxorubicin	31703		pc31703
CPC004_PC3_6H-emetine-10.0	emetine	9824953		pc9824953
CPC004_PC3_6H-epirubicin_hydrochloride-10.0	epirubicin hydrochloride	11317883		pc11317883
CPC004_PC3_6H-erythrosine_sodium-10.0	erythrosine sodium	5284373		pc5284373
CPC004_PC3_6H-estradiol_cypionate-10.0	estradiol cypionate	3476		pc3476
CPC004_PC3_6H-forskolin-10.0	forskolin	443945		pc443945
CPC004_PC3_6H-geldanamycin-10.0	geldanamycin	5288382		pc5288382
CPC004_PC3_6H-gitoxigenin-10.0	gitoxigenin			gitoxigenin
CPC004_PC3_6H-gw_1929-10.0	gw 1929	15478		pc15478
CPC004_PC3_6H-gw_3965_hydrochloride-10.0	gw 3965 hydrochloride	5330535		pc5330535
CPC004_PC3_6H-gw_7647-10.0	gw 7647	91610		pc91610
CPC004_PC3_6H-inca-6-10.0	inca 6	8616		pc8616
CPC004_PC3_6H-indirubin-3?-monoxime-10.0	indirubin 3? monoxime	5326739		pc5326739
CPC004_PC3_6H-l_755507-10.0	l 755507	16094766		pc16094766
CPC004_PC3_6H-menadione-10.0	menadione	4055		pc4055
CPC004_PC3_6H-methyl_2,5-dihydroxycinnamate-10.0	methyl 2,5 dihydroxycinnamate	13791		pc13791
CPC004_PC3_6H-mitomycin_c-10.0	mitomycin c	6437		pc6437
CPC004_PC3_6H-na-tosyl-phe_chloromethyl_ketone-10.0	na tosyl phe chloromethyl ketone	56972161		pc56972161
CPC004_PC3_6H-niclosamide-10.0	niclosamide	4477		pc4477
CPC004_PC3_6H-nsc_663284-10.0	nsc 663284	193949		pc193949
CPC004_PC3_6H-ornidazole-10.0	ornidazole	9953599		pc9953599
CPC004_PC3_6H-ouabain-10.0	ouabain	668079		pc668079
CPC004_PC3_6H-oxaprozin-10.0	oxaprozin	9826308		pc9826308
CPC004_PC3_6H-paroxetine_hydrochloride-10.0	paroxetine hydrochloride	5281377		pc5281377
CPC004_PC3_6H-pifithrin-_?-10.0	pifithrin  ?	5833		pc5833
CPC004_PC3_6H-pioglitazone_hydrochloride-10.0	pioglitazone hydrochloride	3218		pc3218
CPC004_PC3_6H-piplartine-10.0	piplartine	60943		pc60943
CPC004_PC3_6H-practolol-10.0	practolol			practolol
CPC004_PC3_6H-promazine_hydrochloride-10.0	promazine hydrochloride	5081913		pc5081913
CPC004_PC3_6H-proscillaridin_a-10.0	proscillaridin a	6185		pc6185
CPC004_PC3_6H-protein_tyrosine_phosphatase_inhibitor_iv-10.0	protein tyrosine phosphatase inhibitor iv	2750		pc2750
CPC004_PC3_6H-riboflavine-10.0	riboflavine	3546		pc3546
CPC004_PC3_6H-ro_31-8220_mesylate-10.0	ro 31 8220 mesylate	9874838		pc9874838
CPC004_PC3_6H-rottlerin-10.0	rottlerin	132837		pc132837
CPC004_PC3_6H-sappanone_a_trimethyl_ether-10.0	sappanone a trimethyl ether	445154		pc445154
CPC004_PC3_6H-sb_216641_hydrochloride-10.0	sb 216641 hydrochloride			sb216641hydrochloride
CPC004_PC3_6H-sb_218078-10.0	sb 218078	444732		pc444732
CPC004_PC3_6H-selamectin-10.0	selamectin	9549289		pc9549289
CPC004_PC3_6H-sertraline_hydrochloride-10.0	sertraline hydrochloride			sertralinehydrochloride
CPC004_PC3_6H-sib_1893-10.0	sib 1893	3970		pc3970
CPC004_PC3_6H-sirolimus-10.0	sirolimus	5284616		pc5284616
CPC004_PC3_6H-suloctidil-10.0	suloctidil	5354		pc5354
CPC004_PC3_6H-teniposide-10.0	teniposide	452548		pc452548
CPC004_PC3_6H-terfenadine-10.0	terfenadine	5405		pc5405
CPC004_PC3_6H-thiorphan-10.0	thiorphan			thiorphan
CPC004_PC3_6H-trichostatin_a-10.0	trichostatin a	444732		pc444732
CPC004_PC3_6H-triciribine-10.0	triciribine			triciribine
CPC004_PC3_6H-triclosan-10.0	triclosan			triclosan
CPC004_PC3_6H-trimetozine-10.0	trimetozine	3955		pc3955
CPC004_PC3_6H-vorinostat-10.0	vorinostat	5311		pc5311
CPC004_PC3_6H-wortmannin-10.0	wortmannin	312145		pc312145
CPC004_PC3_6H-ym_90709-10.0	ym 90709	60837		pc60837
CPC004_PC3_6H-zoxazolamine-10.0	zoxazolamine			zoxazolamine
CPC004_VCAP_24H-BRD-A75409952_(wortmannin)-10.0	brd a75409952	1549477	wortmannin	pc1549477
CPC004_VCAP_24H-BRD-K36055864_(cycloheximide)-10.0	brd k36055864	16759158	cycloheximide	pc16759158
CPC004_VCAP_24H-BRD-K77830450_(forskolin)-10.0	brd k77830450		forskolin	brdk77830450
CPC004_VCAP_24H-BRD-K87343924_(wortmannin)-10.0	brd k87343924		wortmannin	brdk87343924
CPC004_VCAP_24H-ag_957-10.0	ag 957	1456		pc1456
CPC004_VCAP_24H-albendazole-10.0	albendazole	5311		pc5311
CPC004_VCAP_24H-alprenolol_hydrochloride-10.0	alprenolol hydrochloride	6710740		pc6710740
CPC004_VCAP_24H-altrenogest-10.0	altrenogest	9824953		pc9824953
CPC004_VCAP_24H-amg_9810-10.0	amg 9810			amg9810
CPC004_VCAP_24H-amiodarone_hydrochloride-10.0	amiodarone hydrochloride	9806489		pc9806489
CPC004_VCAP_24H-amlodipine_besylate-10.0	amlodipine besylate			amlodipinebesylate
CPC004_VCAP_24H-amoxapine-10.0	amoxapine	2170		pc2170
CPC004_VCAP_24H-amsacrine-10.0	amsacrine	2179		pc2179
CPC004_VCAP_24H-arcyriaflavin_a-10.0	arcyriaflavin a	481747		pc481747
CPC004_VCAP_24H-badge-10.0	badge	5701996		pc5701996
CPC004_VCAP_24H-bendroflumethiazide-10.0	bendroflumethiazide	2315		pc2315
CPC004_VCAP_24H-benzopurpurin_(b)-10.0	benzopurpurin (b)	6604009		pc6604009
CPC004_VCAP_24H-benzoxiquine-10.0	benzoxiquine			benzoxiquine
CPC004_VCAP_24H-betamethasone-10.0	betamethasone	9782		pc9782
