DrugName	DrugID_ChEMBL	DrugID_DrugBank	DrugID_SMILES	DrugID_PC
ibutilide	chembl533	db00308	cccccccn(cc)cccc(o)c1=cc=c(ns(c)(=o)=o)c=c1	60753
icosapent	chembl460026	db00159	cc\c=c/c\c=c/c\c=c/c\c=c/c\c=c/cccc(o)=o	446284
iloperidone	chembl14376	db04946	coc1=c(occcn2ccc(cc2)c2=noc3=c2c=cc(f)=c3)c=cc(=c1)c(c)=o	71360
iloprost	chembl494	db01088	[h][c@]12c[c@@h](o)[c@h](\c=c\[c@@h](o)c(c)cc#cc)[c@@]1([h])c\c(c2)=c\cccc(o)=o	5311181
imatinib	chembl941	db00619	cn1ccn(cc2=cc=c(c=c2)c(=o)nc2=cc(nc3=nc=cc(=n3)c3=cn=cc=c3)=c(c)c=c2)cc1	5291
imidazole	chembl540	db03366	n1c=cn=c1	795
imipramine	chembl11	db00458	cn(c)cccn1c2=cc=cc=c2ccc2=cc=cc=c12	3696
indirubin-3'-monoxime	chembl216543	db02052	o\n=c1\c(\nc2=c\1c=cc=c2)=c1\c(=o)nc2=c1c=cc=c2	5326739
indomethacin	chembl6	db00328	coc1=cc2=c(c=c1)n(c(=o)c1=cc=c(cl)c=c1)c(c)=c2cc(o)=o	3715
inositol 1-3-4-5-tetrakisphosphate	chembl23552	db01863	o[c@h]1[c@@h](op(o)(o)=o)[c@h](o)[c@@h](op(o)(o)=o)[c@h](op(o)(o)=o)[c@h]1op(o)(o)=o	107758
Regular human insulin	chembl1201540	db00030	not found	118984375
insulin (bovine)	chembl1201539	db00071	not found	16131099
iron dextran	chembl1201544	db00893	not found	105075
isoflurane	chembl1256	db00753	fc(f)oc(cl)c(f)(f)f	3763
isoprenaline	chembl434	db01064	cc(c)ncc(o)c1=cc(o)=c(o)c=c1	3779
isopropyl alcohol	chembl582	db02325	cc(c)o	3776
isradipine	chembl1648	db00270	coc(=o)c1=c(c)nc(c)=c(c1c1=cc=cc2=non=c12)c(=o)oc(c)c	3784
ketamine	chembl742	db01221	cnc1(ccccc1=o)c1=cc=cc=c1cl	3821
ketazolam	chembl2104356	db01587	cn1c2=c(c=c(cl)c=c2)c2(oc(c)=cc(=o)n2cc1=o)c1=cc=cc=c1	33746
ketobemidone	chembl47072	db06738	ccc(=o)c1(ccn(c)cc1)c1=cc(o)=cc=c1	10101
l-alanine	chembl279597	db00160	c[c@h](n)c(o)=o	5950
l-arginine	chembl1485	db00125	n[c@@h](cccnc(n)=n)c(o)=o	6322
l-asparagine	chembl58832	db00174	n[c@@h](cc(n)=o)c(o)=o	6267
l-aspartic acid	chembl274323	db00128	n[c@@h](cc(o)=o)c(o)=o	5960
l-carnitine	chembl1149	db00583	c[n+](c)(c)c[c@h](o)cc([o-])=o	10917
l-citrulline	chembl444814	db00155	n[c@@h](cccnc(n)=o)c(o)=o	9750
l-cysteine	chembl863	db00151	n[c@@h](cs)c(o)=o	5862
l-isoleucine	chembl1233584	db00167	cc[c@h](c)[c@h](n)c(o)=o	6306
l-leucine	chembl291962	db00149	cc(c)c[c@h](n)c(o)=o	6106
l-lysine	chembl8085	db00123	ncccc[c@h](n)c(o)=o	5962
l-methionine	chembl42336	db00134	cscc[c@h](n)c(o)=o	6137
l-phenylalanine	chembl301523	db00120	n[c@@h](cc1=cc=cc=c1)c(o)=o	6140
l-proline	chembl54922	db00172	oc(=o)[c@@h]1cccn1	145742
l-serine	chembl11298	db00133	n[c@@h](co)c(o)=o	5951
labetalol	chembl429	db00598	cc(ccc1=cc=cc=c1)ncc(o)c1=cc(c(n)=o)=c(o)c=c1	3869
lauric acid	chembl108766	db03017	cccccccccccc(o)=o	3893
lauryl dimethylamine-n-oxide	chembl1233973	db04147	cccccccccccc[n+](c)(c)[o-]	15433
lenvatinib	chembl1289601	db09078	coc1=c(c=c2c(oc3=cc(cl)=c(nc(o)=nc4cc4)c=c3)=cc=nc2=c1)c(o)=n	9823820
levodopa	chembl1009	db01235	n[c@@h](cc1=cc(o)=c(o)c=c1)c(o)=o	6047
lindane	chembl15891	db00431	cl[c@h]1[c@h](cl)[c@@h](cl)[c@@h](cl)[c@h](cl)[c@h]1cl	727
lisuride	chembl157138	db00589	[h][c@@]12cc3=cnc4=cc=cc(=c34)c1=c[c@@h](cn2c)nc(=o)n(cc)cc	28864
loperamide	chembl841	db00836	cn(c)c(=o)c(ccn1ccc(o)(cc1)c1=cc=c(cl)c=c1)(c1=cc=cc=c1)c1=cc=cc=c1	3955
lorazepam	chembl580	db00186	oc1n=c(c2=cc=cc=c2cl)c2=c(nc1=o)c=cc(cl)=c2	3958
loxapine	chembl831	db00408	cn1ccn(cc1)c1=nc2=cc=cc=c2oc2=c1c=c(cl)c=c2	3964
lurasidone	chembl1237021	db08815	o=c1[c@h]2[c@@h]3cc[c@@h](c3)[c@h]2c(=o)n1c[c@@h]1cccc[c@h]1cn1ccn(cc1)c1=nsc2=cc=cc=c12	213046
magnesium acetate tetrahydrate	chembl1200691	db09409	o.o.o.o.[mg++].cc([o-])=o.cc([o-])=o	8896
magnesium carbonate	chembl1200736	db09481	[mg++].[o-]c([o-])=o	11029
magnesium sulfate	chembl1200456	db00653	[mg++].[o-]s([o-])(=o)=o	16211255
maprotiline	chembl21731	db00934	cncccc12ccc(c3=cc=cc=c13)c1=cc=cc=c21	4011
marimastat	chembl279785	db00786	cnc(=o)[c@@h](nc(=o)[c@h](cc(c)c)[c@h](o)c(=o)no)c(c)(c)c	119031
meclofenamic acid	chembl509	db00939	cc1=c(cl)c(nc2=cc=cc=c2c(o)=o)=c(cl)c=c1	4037
melatonin	chembl45	db01065	coc1=cc2=c(nc=c2ccnc(c)=o)c=c1	896
memantine	chembl807	db01043	cc12cc3cc(c)(c1)cc(n)(c3)c2	4054
menadione	chembl590	db00170	cc1=cc(=o)c2=cc=cc=c2c1=o	4055
mephentermine	chembl1200996	db01365	cnc(c)(c)cc1=cc=cc=c1	5702236
meprobamate	chembl979	db00371	cccc(c)(coc(n)=o)coc(n)=o	4064
mesalazine	chembl704	db00244	nc1=cc(c(o)=o)=c(o)c=c1	4075
methadone	chembl651	db00333	ccc(=o)c(cc(c)n(c)c)(c1=cc=cc=c1)c1=cc=cc=c1	4095
methamphetamine	chembl1200952	db01577	cn[c@@h](c)cc1=cc=cc=c1	66124
metharbital	chembl450	db00463	ccc1(cc)c(=o)nc(=o)n(c)c1=o	4099
methotrimeprazine	chembl1764	db01403	coc1=cc2=c(sc3=c(c=cc=c3)n2c[c@h](c)cn(c)c)c=c1	72287
methoxyflurane	chembl1341	db01028	coc(f)(f)c(cl)cl	4116
methyl (2z)-2-(2-{[6-(2-cyanophenoxy)pyrimidin-4-yl]oxy}phenyl)-3-methoxyacrylate	chembl230001	db07401	co\c=c(\c(=o)oc)c1=cc=cc=c1oc1=nc=nc(oc2=cc=cc=c2c#n)=c1	3034285
methylphenobarbital	chembl45029	db00849	ccc1(c(=o)nc(=o)n(c)c1=o)c1=cc=cc=c1	8271
methyprylon	chembl1200790	db01107	ccc1(cc)c(=o)ncc(c)c1=o	4162
methysergide	chembl1065	db00247	[h][c@@]12cc3=cn(c)c4=c3c(=cc=c4)c1=c[c@h](cn2c)c(=o)nc(cc)co	9681
metixene	chembl1201342	db00340	cn1cccc(cc2c3=cc=cc=c3sc3=cc=cc=c23)c1	4167
mianserin	chembl6437	db06148	cn1ccn2c(c1)c1=cc=cc=c1cc1=cc=cc=c21	4184
mibefradil	chembl45816	db01388	cocc(=o)o[c@]1(ccn(c)cccc2=nc3=cc=cc=c3n2)ccc2=c(c=cc(f)=c2)[c@@h]1c(c)c	60663
miconazole	chembl91	db01110	clc1=cc(cl)=c(coc(cn2c=cn=c2)c2=c(cl)c=c(cl)c=c2)c=c1	4189
midazolam	chembl655	db00683	cc1=nc=c2cn=c(c3=cc=cc=c3f)c3=c(c=cc(cl)=c3)n12	4192
midostaurin	chembl608533	db06595	co[c@@h]1[c@@h](c[c@h]2o[c@]1(c)n1c3=c(c=cc=c3)c3=c1c1=c(c4=c(c=cc=c4)n21)c1=c3cnc1=o)n(c)c(=o)c1=cc=cc=c1	9829523
milnacipran	chembl252923	db04896	ccn(cc)c(=o)[c@@]1(c[c@@h]1cn)c1=cc=cc=c1	65833
minaprine	chembl278819	db00805	cc1=cc(=nn=c1nccn1ccocc1)c1=cc=cc=c1	4199
minocycline	chembl1434	db01017	[h][c@@]12cc3=c(c(o)=cc=c3n(c)c)c(=o)c1=c(o)[c@]1(o)c(=o)c(c(n)=o)=c(o)[c@@h](n(c)c)[c@]1([h])c2	54675783
mirtazapine	chembl654	db00370	cn1ccn2c(c1)c1=cc=cc=c1cc1=c2n=cc=c1	4205
mmda	chembl126506	db01442	coc1=cc(cc(c)n)=cc2=c1oco2	26175
muromonab	chembl1201608	db00075	not found	NA
myristic acid	chembl111077	db08231	cccccccccccccc(o)=o	11005
n-(2-2-2-trifluoroethyl)-n-{4-[2-2-2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]phenyl}benzenesulfonamide	chembl62136	db07080	oc(c1=cc=c(c=c1)n(cc(f)(f)f)s(=o)(=o)c1=cc=cc=c1)(c(f)(f)f)c(f)(f)f	447912
n-acetyl-alpha-neuraminic acid	chembl1234621	db03721	[h][c@]1(o[c@](o)(c[c@h](o)[c@h]1nc(c)=o)c(o)=o)[c@h](o)[c@h](o)co	444885
n-acetylglucosamine	chembl447878	db00141	[h]c(=o)[c@h](nc(c)=o)[c@@h](o)[c@h](o)[c@h](o)co	24139
nafamostat	chembl273264	db12598	nc(=n)nc1=cc=c(c=c1)c(=o)oc1=cc=c2c=c(c=cc2=c1)c(n)=n	4413
naloxone	chembl80	db01183	[h][c@@]12oc3=c(o)c=cc4=c3[c@@]11ccn(cc=c)[c@]([h])(c4)[c@]1(o)ccc2=o	5284596
natalizumab	chembl1201607	db00108	not found	NA
nedocromil	chembl746	db00716	cccc1=c2n(cc)c(=cc(=o)c2=cc2=c1oc(=cc2=o)c(o)=o)c(o)=o	50294
nefazodone	chembl623	db01149	ccc1=nn(cccn2ccn(cc2)c2=cc(cl)=cc=c2)c(=o)n1ccoc1=cc=cc=c1	4449
nicardipine	chembl1484	db00622	coc(=o)c1=c(c)nc(c)=c(c1c1=cc(=cc=c1)[n+]([o-])=o)c(=o)occn(c)cc1=cc=cc=c1	4474
nicotine	chembl3	db00184	cn1ccc[c@h]1c1=cn=cc=c1	89594
nifedipine	chembl193	db01115	coc(=o)c1=c(c)nc(c)=c(c1c1=cc=cc=c1[n+]([o-])=o)c(=o)oc	4485
niflumic acid	chembl63323	db04552	oc(=o)c1=c(nc2=cc=cc(=c2)c(f)(f)f)n=cc=c1	4488
nilvadipine	chembl517427	db06712	coc(=o)c1=c(nc(c)=c(c1c1=cc(=cc=c1)[n+]([o-])=o)c(=o)oc(c)c)c#n	4494
nimodipine	chembl1428	db00393	coccoc(=o)c1=c(c)nc(c)=c(c1c1=cc(=cc=c1)[n+]([o-])=o)c(=o)oc(c)c	4497
nintedanib	chembl502835	db09079	coc(=o)c1=cc2=c(c=c1)\c(=c(\nc1=cc=c(c=c1)n(c)c(=o)cn1ccn(c)cc1)c1=cc=cc=c1)c(o)=n2	9809715
nisoldipine	chembl1726	db00401	coc(=o)c1=c(c)nc(c)=c(c1c1=cc=cc=c1[n+]([o-])=o)c(=o)occ(c)c	4499
nitrazepam	chembl13209	db01595	[o-][n+](=o)c1=cc2=c(nc(=o)cn=c2c2=cc=cc=c2)c=c1	4506
nitrendipine	chembl475534	db01054	ccoc(=o)c1=c(c)nc(c)=c(c1c1=cc(=cc=c1)[n+]([o-])=o)c(=o)oc	4507
nomifensine	chembl273575	db04821	cn1cc(c2=cc=cc=c2)c2=c(c1)c(n)=cc=c2	4528
norepinephrine	chembl1437	db00368	nc[c@h](o)c1=cc(o)=c(o)c=c1	439260
nortriptyline	chembl445	db00540	cnccc=c1c2=cc=cc=c2ccc2=cc=cc=c12	4543
olanzapine	chembl715	db00334	cn1ccn(cc1)c1=nc2=cc=cc=c2nc2=c1c=c(c)s2	4585
olopatadine	chembl1719	db00768	cn(c)cc\c=c1\c2=cc=cc=c2coc2=c1c=c(cc(o)=o)c=c2	5281071
ondansetron	chembl46	db00904	cn1c2=c(c3=cc=cc=c13)c(=o)c(cn1c=cn=c1c)cc2	4595
ornithine	chembl446143	db00129	nccc[c@h](n)c(o)=o	6262
orphenadrine	chembl900	db01173	cn(c)ccoc(c1=cc=cc=c1)c1=cc=cc=c1c	4601
oxazepam	chembl568	db00842	oc1n=c(c2=cc=cc=c2)c2=c(nc1=o)c=cc(cl)=c2	4616
oxtriphylline	chembl190	db01303	c[n+](c)(c)cco.cn1c2=c([n-]c=n2)c(=o)n(c)c1=o	2153
oxycodone	chembl656	db00497	[h][c@@]12oc3=c(oc)c=cc4=c3[c@@]11ccn(c)[c@]([h])(c4)[c@]1(o)ccc2=o	5284603
oxymetazoline	chembl762	db00935	cc1=cc(=c(o)c(c)=c1cc1=nccn1)c(c)(c)c	4636
paclitaxel	chembl428647	db01229	[h][c@]12[c@h](oc(=o)c3=cc=cc=c3)[c@]3(o)c[c@h](oc(=o)[c@h](o)[c@@h](nc(=o)c4=cc=cc=c4)c4=cc=cc=c4)c(c)=c([c@@h](oc(c)=o)c(=o)[c@]1(c)[c@@h](o)c[c@h]1oc[c@@]21oc(c)=o)c3(c)c	36314
palifermin	chembl1201821	db00039	not found	NA
paliperidone	chembl1621	db01267	cc1=c(ccn2ccc(cc2)c2=noc3=c2c=cc(f)=c3)c(=o)n2cccc(o)c2=n1	115237
palivizumab	chembl1201586	db00110	not found	NA
palmitic acid	chembl82293	db03796	cccccccccccccccc(o)=o	985
panobinostat	chembl483254	db06603	[h]\c(=c(\[h])c1=cc=c(cnccc2=c(c)nc3=cc=cc=c23)c=c1)c(o)=no	6918837
paroxetine	chembl490	db00715	fc1=cc=c(c=c1)[c@@h]1ccnc[c@h]1coc1=cc2=c(oco2)c=c1	43815
patupilone	chembl94657	db03010	[h]\c(=c(\c)[c@]1([h])c[c@]2([h])o[c@]2(c)ccc[c@]([h])(c)[c@]([h])(o)[c@@]([h])(c)c(=o)c(c)(c)[c@@]([h])(o)cc(=o)o1)c1=csc(c)=n1	448013
pazopanib	chembl477772	db06589	cn(c1=cc2=nn(c)c(c)=c2c=c1)c1=cc=nc(nc2=cc=c(c)c(=c2)s(n)(=o)=o)=n1	10113978
pentobarbital	chembl448	db00312	cccc(c)c1(cc)c(=o)nc(=o)nc1=o	4737
pentoxifylline	chembl628	db00806	cn1c=nc2=c1c(=o)n(ccccc(c)=o)c(=o)n2c	4740
pergolide	chembl531	db01186	[h][c@@]12cc3=cnc4=cc=cc(=c34)[c@@]1([h])c[c@@h](csc)cn2ccc	47811
perospirone	chembl1472975	db08922	[h][c@@]12cccc[c@]1([h])c(=o)n(ccccn1ccn(cc1)c1=nsc3=cc=cc=c13)c2=o	115368
pethidine	chembl607	db00454	ccoc(=o)c1(ccn(c)cc1)c1=cc=cc=c1	4058
phenelzine	chembl1089	db00780	nnccc1=cc=cc=c1	3675
phenobarbital	chembl40	db01174	ccc1(c(=o)nc(=o)nc1=o)c1=cc=cc=c1	4763
phenoxybenzamine	chembl753	db00925	cc(coc1=cc=cc=c1)n(cccl)cc1=cc=cc=c1	4768
phentermine	chembl1574	db00191	cc(c)(n)cc1=cc=cc=c1	4771
phenylpropanolamine	chembl61006	db00397	c[c@@h](n)[c@@h](o)c1=cc=cc=c1	4786
pidolic acid	chembl397976	db03088	oc(=o)[c@@h]1ccc(=o)n1	7405
ponatinib	chembl1171837	db08901	cn1ccn(cc2=cc=c(nc(=o)c3=cc(c#cc4=cn=c5c=cc=nn45)=c(c)c=c3)c=c2c(f)(f)f)cc1	24826799
potassium chloride	chembl1200731	db00761	[cl-].[k+]	4873
pramipexole	chembl301265	db00413	cccn[c@h]1ccc2=c(c1)sc(n)=n2	119570
pranlukast	chembl21333	db01411	o=c(nc1=c2oc(=cc(=o)c2=cc=c1)c1=nnn=n1)c1=cc=c(occccc2=cc=cc=c2)c=c1	4887
prasterone	chembl90593	db01708	[h][c@@]12ccc(=o)[c@@]1(c)cc[c@@]1([h])[c@@]2([h])cc=c2c[c@@]([h])(o)cc[c@]12c	5881
prazepam	chembl969	db01588	clc1=cc2=c(c=c1)n(cc1cc1)c(=o)cn=c2c1=cc=cc=c1	4890
prazosin	chembl2	db00457	coc1=c(oc)c=c2c(n)=nc(=nc2=c1)n1ccn(cc1)c(=o)c1=cc=co1	4893
primidone	chembl856	db00794	ccc1(c(=o)ncnc1=o)c1=cc=cc=c1	4909
procaine	chembl569	db00721	ccn(cc)ccoc(=o)c1=cc=c(n)c=c1	4914
progesterone	chembl103	db00396	[h][c@@]12cc[c@h](c(c)=o)[c@@]1(c)cc[c@@]1([h])[c@@]2([h])ccc2=cc(=o)cc[c@]12c	5994
promazine	chembl564	db00420	cn(c)cccn1c2=cc=cc=c2sc2=cc=cc=c12	4926
promethazine	chembl643	db01069	cc(cn1c2=cc=cc=c2sc2=cc=cc=c12)n(c)c	4927
propiomazine	chembl1201210	db00777	ccc(=o)c1=cc2=c(sc3=cc=cc=c3n2cc(c)n(c)c)c=c1	4940
propofol	chembl526	db00818	cc(c)c1=cc=cc(c(c)c)=c1o	4943
propranolol	chembl27	db00571	cc(c)ncc(o)coc1=cc=cc2=cc=cc=c12	4946
pseudoephedrine	chembl1590	db00852	cn[c@@h](c)[c@@h](o)c1=cc=cc=c1	7028
puromycin	chembl469912	db08437	[h][c@](n)(cc1=cc=c(oc)c=c1)c(=o)n[c@]1([h])[c@@]([h])(co)o[c@@]([h])(n2c=nc3=c(n=cn=c23)n(c)c)[c@]1([h])o	439530
purvalanol	chembl23254	db02733	[h][c@@](co)(nc1=nc2=c(n=cn2c(c)c)c(nc2=cc=c(c(o)=o)c(cl)=c2)=n1)c(c)c	448991
pyridoxal phosphate	chembl82202	db00114	cc1=nc=c(cop(o)(o)=o)c(c=o)=c1o	1051
pyruvic acid	chembl1162144	db00119	cc(=o)c(o)=o	1060
quazepam	chembl1200472	db01589	fc1=cc=cc=c1c1=ncc(=s)n(cc(f)(f)f)c2=c1c=c(cl)c=c2	4999
quercetin	chembl50	db04216	oc1=cc2=c(c(o)=c1)c(=o)c(o)=c(o2)c1=cc=c(o)c(o)=c1	5280343
quetiapine	chembl716	db01224	occoccn1ccn(cc1)c1=nc2=cc=cc=c2sc2=cc=cc=c12	5002
quinethazone	chembl1532	db01325	ccc1nc(=o)c2=cc(=c(cl)c=c2n1)s(n)(=o)=o	6307
regorafenib	chembl1946170	db08896	cnc(=o)c1=cc(oc2=cc(f)=c(nc(=o)nc3=cc=c(cl)c(=c3)c(f)(f)f)c=c2)=cc=n1	11167602
remoxipride	chembl22242	db00409	ccn1ccc[c@h]1cnc(=o)c1=c(oc)c=cc(br)=c1oc	54477
ribavirin	chembl1643	db00811	nc(=o)c1=nn(c=n1)[c@@h]1o[c@h](co)[c@@h](o)[c@h]1o	37542
riboflavin monophosphate	chembl1201794	db03247	cc1=cc2=c(c=c1c)n(c[c@h](o)[c@h](o)[c@h](o)cop(o)(o)=o)c1=nc(=o)nc(=o)c1=n2	643976
rifampicin	chembl374478	db01045	co[c@h]1\c=c\o[c@@]2(c)oc3=c(c2=o)c2=c(o)c(\c=n\n4ccn(c)cc4)=c(nc(=o)\c(c)=c/c=c/[c@h](c)[c@h](o)[c@@h](c)[c@@h](o)[c@@h](c)[c@h](oc(c)=o)[c@@h]1c)c(o)=c2c(o)=c3c	5458213
risperidone	chembl85	db00734	cc1=c(ccn2ccc(cc2)c2=noc3=c2c=cc(f)=c3)c(=o)n2ccccc2=n1	5073
rituximab	chembl1201576	db00073	not found	NA
ropinirole	chembl589	db00268	cccn(ccc)ccc1=c2cc(=o)nc2=cc=c1	5095
rotigotine	chembl1303	db05271	cccn(ccc1=cc=cs1)[c@h]1ccc2=c(o)c=cc=c2c1	59227
s-adenosyl-l-homocysteine	chembl418052	db01752	n[c@@h](ccsc[c@h]1o[c@h]([c@h](o)[c@@h]1o)n1c=nc2=c(n)n=cn=c12)c(o)=o	439155
s-hexylglutathione	chembl345292	db04132	[h][c@](n)(ccc(o)=n[c@@]([h])(cscccccc)c(o)=ncc(o)=o)c(o)=o	97536
sargramostim	chembl1201670	db00020	not found	NA
scopolamine	chembl569713	db00747	cn1[c@h]2c[c@@h](c[c@@h]1[c@h]1o[c@@h]21)oc(=o)[c@h](co)c1=cc=cc=c1	3000322
secobarbital	chembl447	db00418	cccc(c)c1(cc=c)c(=o)nc(=o)nc1=o	5193
sertindole	chembl12713	db06144	fc1=cc=c(c=c1)n1c=c(c2ccn(ccn3ccnc3=o)cc2)c2=c1c=cc(cl)=c2	60149
setiptiline	chembl2104895	db09304	cn1ccc2=c(c1)c1=cc=cc=c1cc1=cc=cc=c21	5205
sevoflurane	chembl1200694	db01236	fcoc(c(f)(f)f)c(f)(f)f	5206
solifenacin	chembl1734	db01591	o=c(o[c@h]1cn2ccc1cc2)n1ccc2=cc=cc=c2[c@@h]1c1=cc=cc=c1	154059
sorafenib	chembl1336	db00398	cnc(=o)c1=nc=cc(oc2=cc=c(nc(=o)nc3=cc(=c(cl)c=c3)c(f)(f)f)c=c2)=c1	216239
spironolactone	chembl1393	db00421	[h][c@@]12cc[c@@]3(ccc(=o)o3)[c@@]1(c)cc[c@@]1([h])[c@@]2([h])[c@@]([h])(cc2=cc(=o)cc[c@]12c)sc(c)=o	5833
staurosporine	chembl388978	db02010	[h][c@]1(c[c@@]2([h])o[c@](c)(n3c4=cc=cc=c4c4=c5cnc(=o)c5=c5c6=cc=cc=c6n2c5=c34)[c@]1([h])oc)nc	44259
stiripentol	chembl1983350	db09118	cc(c)(c)c(o)\c=c\c1=cc2=c(oco2)c=c1	5311454
succinic acid	chembl576	db00139	oc(=o)ccc(o)=o	1110
sucralfate	chembl2029132	db00364	o[al](o)os(=o)(=o)oc[c@h]1o[c@@h](o[c@]2(cos(=o)(=o)o[al](o)o)o[c@h](os(=o)(=o)o[al](o)o)[c@@h](os(=o)(=o)o[al](o)o)[c@@h]2os(=o)(=o)o[al](o)o)[c@h](os(=o)(=o)o[al](o)o)[c@@h](os(=o)(=o)o[al](o)o)[c@@h]1os(=o)(=o)o[al](o)o	70789197
sulfasalazine	chembl421	db00795	oc(=o)c1=cc(=cc=c1o)\n=n\c1=cc=c(c=c1)s(=o)(=o)nc1=nc=cc=c1	5353980
sulindac	chembl15770	db00605	cc1=c(cc(o)=o)c2=cc(f)=cc=c2\c1=c/c1=cc=c(c=c1)s(c)=o	1548887
sunitinib	chembl535	db01268	ccn(cc)ccnc(=o)c1=c(c)nc(\c=c2/c(=o)nc3=c2c=c(f)c=c3)=c1c	5329102
suramin	chembl265502	db04786	cc1=c(nc(=o)c2=cc(nc(=o)nc3=cc=cc(=c3)c(=o)nc3=c(c)c=cc(=c3)c(=o)nc3=c4c(c=c(c=c4s(o)(=o)=o)s(o)(=o)=o)=c(c=c3)s(o)(=o)=o)=cc=c2)c=c(c=c1)c(=o)nc1=c2c(c=c(c=c2s(o)(=o)=o)s(o)(=o)=o)=c(c=c1)s(o)(=o)=o	5361
talbutal	chembl1200802	db00306	ccc(c)c1(cc=c)c(=o)nc(=o)nc1=o	8275
tamoxifen	chembl83	db00675	cc\c(=c(/c1=cc=cc=c1)c1=cc=c(occn(c)c)c=c1)c1=cc=cc=c1	2733526
tapentadol	chembl1201776	db06204	cc[c@h]([c@@h](c)cn(c)c)c1=cc(o)=cc=c1	9838022
temazepam	chembl967	db00231	cn1c2=c(c=c(cl)c=c2)c(=nc(o)c1=o)c1=cc=cc=c1	5391
tenecteplase	chembl2108791	db00031	not found	NA
tenocyclidine	chembl279676	db01520	c1ccn(cc1)c1(ccccc1)c1=cc=cs1	62751
terazosin	chembl611	db01162	coc1=c(oc)c=c2c(n)=nc(=nc2=c1)n1ccn(cc1)c(=o)c1ccco1	5401
terfenadine	chembl17157	db00342	cc(c)(c)c1=cc=c(c=c1)c(o)cccn1ccc(cc1)c(o)(c1=cc=cc=c1)c1=cc=cc=c1	5405
tetrahydrofolic acid	chembl2021342	db00116	nc1=nc(=o)c2=c(ncc(cnc3=cc=c(c=c3)c(=o)n[c@@h](ccc(o)=o)c(o)=o)n2)n1	91443
thalidomide	chembl468	db01041	o=c1n(c2ccc(=o)nc2=o)c(=o)c2=cc=cc=c12	5426
thiocolchicoside	chembl213907	db11582	coc1=c(o[c@@h]2o[c@h](co)[c@@h](o)[c@h](o)[c@h]2o)c=c2cc[c@h](nc(c)=o)c3=cc(=o)c(sc)=cc=c3c2=c1oc	9915886
thiopental	chembl441	db00599	cccc(c)c1(cc)c(=o)nc(=s)nc1=o	3000715
thioproperazine	chembl609109	db01622	cn(c)s(=o)(=o)c1=cc2=c(sc3=cc=cc=c3n2cccn2ccn(c)cc2)c=c1	9429
thioridazine	chembl479	db00679	csc1=cc2=c(sc3=cc=cc=c3n2ccc2ccccn2c)c=c1	5452
tiapride	chembl84158	db13025	ccn(cc)ccn=c(o)c1=c(oc)c=cc(=c1)s(c)(=o)=o	5467
tolazoline	chembl770	db00797	c(c1=nccn1)c1=cc=cc=c1	5504
tolterodine	chembl1382	db01036	cc(c)n(cc[c@h](c1=cc=cc=c1)c1=c(o)c=cc(c)=c1)c(c)c	443879
topiramate	chembl220492	db00273	[h][c@@]12co[c@@]3(cos(n)(=o)=o)oc(c)(c)o[c@@]3([h])[c@]1([h])oc(c)(c)o2	5284627
tositumomab	chembl1201604	db00081	not found	NA
tramadol	chembl1066	db00193	coc1=cc=cc(=c1)[c@@]1(o)cccc[c@@h]1cn(c)c	33741
trapidil	chembl132767	db09283	ccn(cc)c1=cc(c)=nc2=nc=nn12	5531
trastuzumab	chembl1201585	db00072	not found	NA
trazodone	chembl621	db00656	clc1=cc=cc(=c1)n1ccn(cccn2n=c3c=cc=cn3c2=o)cc1	5533
tretinoin	chembl38	db00755	cc(c=cc1=c(c)cccc1(c)c)=cc=cc(c)=cc(o)=o	444795
triazolam	chembl646	db00897	cc1=nn=c2cn=c(c3=cc=cc=c3cl)c3=c(c=cc(cl)=c3)n12	5556
trichlormethiazide	chembl1054	db01021	ns(=o)(=o)c1=c(cl)c=c2nc(ns(=o)(=o)c2=c1)c(cl)cl	5560
trifluoperazine	chembl422	db00831	cn1ccn(cccn2c3=cc=cc=c3sc3=c2c=c(c=c3)c(f)(f)f)cc1	5566
triflupromazine	chembl570	db00508	cn(c)cccn1c2=cc=cc=c2sc2=c1c=c(c=c2)c(f)(f)f	5568
trihexyphenidyl	chembl1490	db00376	oc(ccn1ccccc1)(c1ccccc1)c1=cc=cc=c1	5572
trimebutine	chembl190044	db09089	ccc(coc(=o)c1=cc(oc)=c(oc)c(oc)=c1)(n(c)c)c1=cc=cc=c1	5573
trimipramine	chembl644	db00726	cc(cn(c)c)cn1c2=cc=cc=c2ccc2=cc=cc=c12	5584
troglitazone	chembl408	db00197	cc1=c(c)c2=c(ccc(c)(coc3=cc=c(cc4sc(=o)nc4=o)c=c3)o2)c(c)=c1o	5591
tromethamine	chembl1200391	db03754	nc(co)(co)co	6503
ubiquinone-2	chembl1236595	db08690	coc1=c(oc)c(=o)c(c\c=c(/c)ccc=c(c)c)=c(c)c1=o	5280346
umeclidinium	chembl1187833	db09076	oc(c1=cc=cc=c1)(c1=cc=cc=c1)c12cc[n+](ccocc3=cc=cc=c3)(cc1)cc2	11519070
uridine-5'-diphosphate	chembl130266	db03435	o[c@h]1[c@@h](o)[c@@h](o[c@@h]1cop(o)(=o)op(o)(o)=o)n1c=cc(=o)nc1=o	6031
